,0,location
0,51st_mueller,
1,51st_springdale,
2,51st_manor,
3,51st_us183,
4,springdale_manor,
5,springdale_mlk,
6,lamar_5th,
7,cesar_chavez_red_river,
8,mlk_red_river,
9,5th_red_river,
10,7th_chicon,
11,coda_southgate,
12,elroy_mcangus,
13,fm973_burleson,
14,mcangus_south,
15,us183_burleson,
16,congress_6th,
17,7th_plesant_valley,
18,7th_springdale,
19,us183_vargas,
20,7th_shady,
21,lamar_riverside,
22,Lamar_and_Manchca_Barton_skyway,
23,bartonsprings_robertelee_south,
24,kinney_lamar,
25,lamar_barton_springs,
26,lamar_oltorf,
27,Lamar_PaytonGin,
28,lamar_24th,
29,lamar_lamar_square,
30,Lamar_Braker,
31,Lamar_Blue_Bonnet,
32,Lamar_BrodieOaks,
33,lamar_panther,
34,anderson_mill_spicewood_parkway,
35,anderson_mill_us183,
36,anderson_mill_bethany,
37,rm620_anderson_mill,
38,bartonsprings_robertelee,
39,bartonsprings_Kinney,
40,benwhite_riverside,
41,congress_benwhite,
42,benwhite_montopolis,
43,fm973_tx71,
44,riverside_montopolis,
45,riverside_plesant_valley,
46,tx71_ross,
47,us183_fm812,
48,burnet_anderson,
49,burnet_koenig,
50,burnet_45th,
51,burnet_braker,
52,burnet_us183,
53,burnet_gault,
54,burnet_duval_loop1,
55,burnet_waterford,
56,fm2222_loop1,
57,lamar_koenig,
58,cap_tx_hwy_westlake,
59,fm2222_loop360,
60,cap_tx_hwy_spicewood_springs_north,
61,courtyard_loop360,
62,cap_tx_hwy_walsh_tarlton,
63,cap_tx_hwy_westgate,
64,pascal_loop360,
65,cap_tx_hwy_lakewood,
66,cap_tx_hwy_loop1_nbsr,
67,cap_tx_hwy_courtyard,
68,cesar_chavez_lavaca,
69,cesar_chavez_trail_underpass,
70,cesar_chavez_br_reynolds,
71,congress_cesar_chavez,
72,lavaca_5th,
73,south_1st_barton_spring,
74,south_1st_oltorf,
75,south_1st_st_elmo,
76,congress_6th_st,
77,5th_trinity,
78,congress_11th,
79,congress_5th,
80,congress_elizabeth,
81,congress_oltorf,
82,lamar_6th,
83,lavaca_6th,
84,congress_11th_st,
85,congress_stassney,
86,south_1st_benwhite,
87,riverside_congress,
88,congress_wm_cannon,
89,congress_slaughter,
90,ross_pearce,
91,fm812_fm973,
92,2nd_san_jacinto,
93,cota_northgate,
94,fm2222_mcneil,
95,fm2222_parkcrest,
96,fm2222_bell_mountain,
97,fm2222_mesa,
98,fm2222_riverplace,
99,fm2222_rm620,
100,rm620_wilson_park,
101,cota_southgate,
102,burleson_emma_browning,
103,fm973_pearce,
104,guadalupe_6th,
105,south_1st_cesar_chavez_lavaca,
106,guadalupe_24th,
107,mlk_guadalupe,
108,guadalupe_21st,
109,guadalupe_26th,
110,guadalupe_27th,
111,guadalupe_5th,
112,lamar_45th,
113,lamar_mlk,
114,lamar_29th,
115,lamar_38th,
116,lamar_morrow,
117,lamar_airport,
118,lamar_12th,
119,lamar_51st,
120,6th_campbell,
121,lamar_rundberg,
122,lamar_parmer,
123,lamar_payton_gin,
124,lamar_braker,
125,Lamar_5th,
126,rundberg_middle_fiskville,
127,guadalupe_15th,
128,mlk_lavaca,
129,lavaca_15th,
130,mlk_ih35,
131,red_river_dean_keeton,
132,red_river_38th,
133,red_river_32nd,
134,ih_35_riverside,
135,riverside_ih35,
136,rm620_boulder_north,
137,rm620_el_salido,
138,rm620_boulder_south,
139,rm620_lake_creek,
140,rm620_hatch,
141,rm620_deerbrook,
142,south1st_oltorf,
143,south_1st_stassney,
144,south_1st_wm_cannon,
145,south_1st_slaughter,
146,springdale_12th,
147,us183_metropolis,
148,wm_cannon_brodie,
149,wm_cannon_bluff_springs,